Title,Abstract,Subfield,Link,IS_Relevant
"Developing Secure and Interoperable Health Information Systems Using Blockchain Technology to Enhance Data Privacy, Security, and Accessibility in Healthcare","Healthcare information systems are going through a huge change that will make them more efficient, safe, and easy to use. As more persistent records are digitized and private therapeutic information is shared, it is more critical than ever to create beyond any doubt that security, security, and availability are well secured. Blockchain innovation can be a great way to bargain with these issues since it makes a decentralized, unchangeable record that can be utilized to securely store and send healthcare information whereas securing its security and security. This exposition looks at how blockchain innovation might offer assistance make wellbeing data frameworks more secure and more congruous with each other. Healthcare companies can set up a trusted and unchangeable way to oversee understanding information over different frameworks and parties by utilizing blockchain independent plan, cryptography, and voting instruments. One of the leading things approximately blockchain innovation is that it can make data more private. Cryptographic instruments, like encryption and computerized marks, make it conceivable to store and share private wellbeing information securely with individuals who are permitted to see it, without compromising persistent security. Moreover, since blockchain is unchangeable, once information is recorded, it can't be changed or eradicated. This makes the history of who gotten to and changed information clear and simple to check. In conjunction with ensuring protection, blockchain innovation moreover makes things more secure by bringing down the chances of information spills and unlawful get to. Blockchain-based wellbeing data frameworks make information keeping less centralized and use solid encryption strategies to lower the chances of single focuses of failure and unlawful changes. This makes information more secure and dependable. Keen contracts on blockchain stages can too mechanize and execute get to control rules, making beyond any doubt that as it were individuals who are permitted to can see certain restorative data or do certain activities that have as of now been set up. Interoperability is another important part of modern healthcare information systems that lets different healthcare companies and systems work together and share data easily.",BSP,https://www.semanticscholar.org/paper/06d0be8a02dcb7002084ba4f48b780dd1f58439f,True
Security and Privacy of Technologies in Health Information Systems: A Systematic Literature Review,"Health information systems (HISs) have immense value for healthcare institutions, as they provide secure storage, efficient retrieval, insightful analysis, seamless exchange, and collaborative sharing of patient health information. HISs are implemented to meet patient needs, as well as to ensure the security and privacy of medical data, including confidentiality, integrity, and availability, which are necessary to achieve high-quality healthcare services. This systematic literature review identifies various technologies and methods currently employed to enhance the security and privacy of medical data within HISs. Various technologies have been utilized to enhance the security and privacy of healthcare information, such as the IoT, blockchain, mobile health applications, cloud computing, and combined technologies. This study also identifies three key security aspects, namely, secure access control, data sharing, and data storage, and discusses the challenges faced in each aspect that must be enhanced to ensure the security and privacy of patient information in HISs.",BSP,https://www.semanticscholar.org/paper/2cfd8b167f8e713973e35258cee9b40a7ba35b14,True
"ZeroTrustBlock: Enhancing Security, Privacy, and Interoperability of Sensitive Data through ZeroTrust Permissioned Blockchain","With the digitization of healthcare, an immense amount of sensitive medical data are generated and shared between various healthcare stakeholders—however, traditional health data management mechanisms present interoperability, security, and privacy challenges. The centralized nature of current health information systems leads to single points of failure, making the data vulnerable to cyberattacks. Patients also have little control over their medical records, raising privacy concerns. Blockchain technology presents a promising solution to these challenges through its decentralized, transparent, and immutable properties. This research proposes ZeroTrustBlock, a comprehensive blockchain framework for secure and private health information exchange. The decentralized ledger enhances integrity, while permissioned access and smart contracts enable patient-centric control over medical data sharing. A hybrid on-chain and off-chain storage model balances transparency with confidentiality. Integration gateways bridge ZeroTrustBlock protocols with existing systems like EHRs. Implemented on Hyperledger Fabric, ZeroTrustBlock demonstrates substantial security improvements over mainstream databases via cryptographic mechanisms, formal privacy-preserving protocols, and access policies enacting patient consent. Results validate the architecture’s effectiveness in achieving 14,200 TPS average throughput, 480 ms average latency for 100,000 concurrent transactions, and linear scalability up to 20 nodes. However, enhancements around performance, advanced cryptography, and real-world pilots are future work. Overall, ZeroTrustBlock provides a robust application of blockchain capabilities to transform security, privacy, interoperability, and patient agency in health data management.",BSP,https://www.semanticscholar.org/paper/6fcc062cef4c12687789fbfc351d836919f94b16,True
Leveraging blockchain for sustainable supply chain management: A data privacy and security perspective,"This review examines how blockchain technology can be leveraged to enhance data privacy and security in sustainable supply chain management (SSCM). As global supply chains become increasingly complex and the demand for sustainability grows, ensuring data privacy and security has become a critical concern. Traditional supply chain systems often face challenges such as data breaches, lack of transparency, and difficulty in tracing products and materials. Blockchain technology, with its decentralized, immutable, and transparent architecture, offers a promising solution to these challenges. Blockchain can enhance data security by ensuring that data is tamper-proof, traceable, and encrypted, thus protecting sensitive information across the supply chain. It provides transparency while allowing permissioned access, ensuring that stakeholders can verify data without exposing confidential information. Furthermore, privacy-preserving technologies such as zero-knowledge proofs and homomorphic encryption allow verification of data without compromising its security. Smart contracts enable automated compliance with regulatory frameworks like GDPR, reducing the risk of human error and improving operational efficiency. The integration of blockchain in SSCM can improve traceability, transparency, and accountability, thereby promoting environmental and social sustainability. By tracking the origin and journey of goods, blockchain helps verify ethical sourcing practices and reduce carbon footprints. However, the technology also presents challenges, including scalability, integration with legacy systems, and cost considerations. Through case studies in industries such as food, textiles, and renewable energy, this review highlights the practical applications and benefits of blockchain for SSCM. It concludes that blockchain has the potential to revolutionize supply chain operations, but careful consideration must be given to overcoming its technical and financial barriers to widespread adoption.",BSP,https://www.semanticscholar.org/paper/1e16a713d8ea5df93d9276de619ce7e168833a7c,True
Artificial Intelligence for Secured Information Systems in Smart Cities: Collaborative IoT Computing with Deep Reinforcement Learning and Blockchain,"The accelerated expansion of the Internet of Things (IoT) has raised critical challenges associated with privacy, security, and data integrity, specifically in infrastructures such as smart cities or smart manufacturing. Blockchain technology provides immutable, scalable, and decentralized solutions to address these challenges, and integrating deep reinforcement learning (DRL) into the IoT environment offers enhanced adaptability and decision-making. This paper investigates the integration of blockchain and DRL to optimize mobile transmission and secure data exchange in IoT-assisted smart cities. Through the clustering and categorization of IoT application systems, the combination of DRL and blockchain is shown to enhance the performance of IoT networks by maintaining privacy and security. Based on the review of papers published between 2015 and 2024, we have classified the presented approaches and offered practical taxonomies, which provide researchers with critical perspectives and highlight potential areas for future exploration and research. Our investigation shows how combining blockchain's decentralized framework with DRL can address privacy and security issues, improve mobile transmission efficiency, and guarantee robust, privacy-preserving IoT systems. Additionally, we explore blockchain integration for DRL and outline the notable applications of DRL technology. By addressing the challenges of machine learning and blockchain integration, this study proposes novel perspectives for researchers and serves as a foundational exploration from an interdisciplinary standpoint.",BSP,https://www.semanticscholar.org/paper/2b6ee196c2ab811d7b9b12dc3420e077ef4080b5,True
Analysis and Improvement of Blockchain-Based Multilevel Privacy-Preserving Location Sharing Scheme for Telecare Medical Information Systems,"Patient location sharing is an important part of modern smart healthcare and mobile medical services. Blockchain has many attractive properties and is suitable for managing patient locations in telecare medical information systems (TMIS). Recently, Ji et al. proposed a blockchain-based multilevel privacy-preserving location sharing (BMPLS) scheme for TMIS. In this paper, we show that Ji et al.’s BMPLS scheme does not achieve confidentiality and multilevel privacy-preserving. An adversary outside the system can use an ordinary personal computer to completely break the system within a dozen hours and obtain the location of any patient at any time. The adversary inside the system can use an ordinary personal computer to obtain the location of the designated patient within tens of seconds. Using salting technology, we propose an improved BMPLS scheme to fix our attacks. We also optimized the BMLS scheme to make it correct and executable. The security analysis shows that the improved BMPLS scheme achieves decentralization, untamperability, confidentiality, multilevel privacy-preserving, retrievability, and verifiability. The simulation shows that the improved BMPLS scheme is practical, the computational overhead of the location record phase is within 10 ms, and the computational overheads of the location sharing and location extraction phases are both within 30 ms.",BSP,https://www.semanticscholar.org/paper/12f4e64d5cdfa262d14ae3cf1199be073fe38325,True
Searchable Blockchain-Based Healthcare Information Exchange System to Enhance Privacy Preserving and Data Usability,Ensuring the security and usability of electronic health records (EHRs) is important in health information exchange (HIE) systems that handle healthcare records. This study addressed the need to balance privacy preserving and data usability in blockchain-based HIE systems. We propose a searchable blockchain-based HIE system that enhances privacy preserving while improving data usability. The proposed methodology includes users collecting healthcare information (HI) from various Internet of Medical Things (IoMT) devices and compiling this information into EHR blocks for sharing on a blockchain network. This approach allows participants to search and utilize specific health data within the blockchain effectively. The results demonstrate that the proposed system mitigates the issues of traditional HIE systems by providing secure and user-friendly access to EHRs. The proposed searchable blockchain-based HIE system resolves the trade-off dilemma in HIE by achieving a balance between security and the data usability of EHRs.,BSP,https://www.semanticscholar.org/paper/2edde76b8f31a7676c6064dbbd0d28ceff03b05d,True
Security and Privacy of Patient Information in Medical Systems Based on Blockchain Technology,"The essence of “blockchain” is a shared database in which information stored is un-falsifiable, traceable, open, and transparent. Therefore, to improve the security of private information in medical systems, this article uses blockchain technology to design a method to protect private information in medical systems and effectively realize anti-theft control of private information. First, the Patient-oriented Privacy Preserving Access Control model is introduced into the access control process of private information in medical systems. Next, a private information storage platform is built by using blockchain technology, and information transmission is realized using standard cryptographic algorithms. In this process, file authorization contracts are also used to guarantee the security of private information and further prevent theft of medical private information. Our simulation results show that the storage response time of this method is kept below 1,000 ms, and the maximum information throughput rate reaches 550 kbit/s, which indicates that this method has strong performance in information storage and transmission efficiency. Moreover, the reliability and bandwidth utilization of data transmission across domains is higher, so the method has higher information security control performance and superior overall performance.",BSP,https://www.semanticscholar.org/paper/d5f3166f383817f759f4eeaeac3ed9a16816704b,True
Towards Improving Privacy and Security of Identity Management Systems Using Blockchain Technology: A Systematic Review,"An identity management system (IDMS) manages and organizes identities and credentials information exchanged between users, identity providers (IDPs), and service providers (SPs) to ensure confidentiality and enhance privacy of users’ personal data. Traditional or centralized IDMS rely on a third party to store a user’s personal information, authenticate the user, and organize the entire process. This clearly constitutes threats to the privacy of the user, in addition to other issues, such as single point of failure (SPOF), user tracking, and data availability issues. Blockchain technology has many useful features that can contribute to solving traditional IDMS issues, such as decentralization, immutability, and anonymity. Blockchain represents an attractive solution for many issues related to traditional IDMS, including privacy, third-party control, data leakage, and SPOF, supported by Distributed Ledger Technology (DLT) security features and powerful smart contracts technology. The current study presents a systematic literature review and analysis for recently proposed solutions that adopt the traditional centralized approach, as well as solutions based on blockchain technology. The study also aims to provide a deep understanding of proposed IDMS solutions and best practices, and highlight the research gaps and open issues related to IDMSs and users’ privacy. In particular, the current research focuses on analyzing the blockchain-based solutions and illustrating their strengths and weaknesses, as well as highlighting the promising blockchain technology framework that can be utilized to enhance privacy and solve security issues in a centralized IDMS. Such a study is an important step towards developing efficient solutions that address the pressing needs in the field.",BSP,https://www.semanticscholar.org/paper/0227d8aca57de41a14d396350e12f28d4aabe480,True
Blockchain-based privacy and security preserving in electronic health: a systematic review,"In today’s world, health and medicine play an undeniable role in human life. Traditional and current Electronic Health Records (EHR) systems that are used to exchange information between medical stakeholders (patients, physicians, insurance companies, pharmaceuticals, medical researchers, etc.) suffer weaknesses in terms of security and privacy due to having centralized architecture. Blockchain technology ensures the privacy and security of EHR systems thanks to the use of encryption. Moreover, due to its decentralized nature, this technology prevents central failure and central attack points. In this paper, a systematic literature review (SLR) is proposed to analyze the existing Blockchain-based approaches for improving privacy and security in electronic health systems. The research methodology, paper selection process, and the search query are explained. 51 papers returned from our search criteria published between 2018 and Dec 2022 are reviewed. The main ideas, type of Blockchain, evaluation metrics, and used tools of each selected paper are discussed in detail. Finally, future research directions, open challenges, and some issues are discussed.",BSP,https://www.semanticscholar.org/paper/42e29d67505c9bd443271ff5b8d440a2281597fd,True
